subj,session,run,run_trial,context,cue_idx,cue,context_switch,cue_switch,hue_switch,ori_switch,hue,ori,congruent,hue_diff,ori_diff,hue_prop,ori_prop,hue_strength,ori_strength,context_prop,context_strength,iti_trs,iti,break,trial_time_tr,cue_time,stim_time,target_response,context_diff,distract_diff,distract_strength,distract_prop,cue_onset,stim_onset,correct,rt,response,key,stim_frames,dropped_frames,answered,log_switch_lag,log_switch_surprise
ti01,a,1,53,ori,1,5,True,True,ori,ori,green,right,True,hard,hard,0.54,0.53,0.04,0.03,0.53,0.03,1,0.72,False,414.0,298.1,298.8,True,hard,hard,0.04,0.54,298.08701086,298.80386281,False,1.53469920158,0.0,4.0,92,0,True,0.0,0.69314718056
ti01,a,1,54,hue,1,3,True,True,hue,hue,green,right,True,easy,hard,0.64,0.53,0.14,0.03,0.64,0.14,4,2.88,False,421.0,303.14,303.84,True,easy,hard,0.03,0.53,303.122009993,303.855177879,True,0.970112085342,1.0,9.0,59,0,True,0.0,0.0
ti01,a,1,55,ori,1,5,True,True,ori,ori,red,left,True,easy,hard,0.36,0.47,0.14,0.03,0.47,0.03,4,2.88,False,431.0,310.34,311.04,False,hard,easy,0.14,0.36,310.323983908,311.040778875,True,1.1846511364,0.0,4.0,71,0,True,0.0,0.0
ti01,a,1,56,hue,0,6,True,True,hue,hue,red,left,True,easy,easy,0.36,0.25,0.14,0.25,0.36,0.14,0,0.0,False,441.0,317.54,318.24,False,easy,easy,0.25,0.25,317.526134014,318.24328804,True,0.901308059692,0.0,4.0,54,0,True,0.0,0.0
ti01,a,1,57,hue,1,3,False,True,hue,hue,red,left,True,easy,easy,0.36,0.25,0.14,0.25,0.36,0.14,0,0.0,False,447.0,321.86,322.56,False,easy,easy,0.25,0.25,321.844064951,322.561020851,True,0.886541128159,0.0,4.0,54,0,True,0.69314718056,0.0
ti01,a,1,58,ori,0,4,True,True,ori,ori,green,left,False,hard,easy,0.54,0.25,0.04,0.25,0.25,0.25,2,1.44,False,453.0,326.18,326.88,False,easy,hard,0.04,0.54,326.162235022,326.878901005,True,1.284689188,0.0,4.0,77,0,True,0.0,0.0
ti01,a,1,59,ori,1,5,False,True,ori,ori,red,right,False,easy,hard,0.36,0.53,0.14,0.03,0.53,0.03,8,5.76,False,461.0,331.94,332.64,True,hard,easy,0.14,0.36,331.913651943,332.647513866,True,1.53542304039,1.0,9.0,92,0,True,0.69314718056,0.0
ti01,a,1,60,hue,0,6,True,True,hue,hue,green,left,False,easy,easy,0.64,0.25,0.14,0.25,0.64,0.14,2,1.44,False,475.0,342.02,342.72,True,easy,easy,0.25,0.25,342.000160933,342.733726978,True,1.88484811783,1.0,9.0,113,0,True,0.0,0.0
ti01,a,1,61,ori,1,5,True,True,ori,ori,green,right,True,easy,easy,0.64,0.75,0.14,0.25,0.75,0.25,1,0.72,False,483.0,347.78,348.48,True,easy,easy,0.14,0.64,347.768626928,348.485507011,True,1.95165920258,1.0,9.0,117,0,True,0.0,0.0
ti01,a,1,62,hue,1,3,True,True,hue,hue,red,left,True,easy,hard,0.36,0.47,0.14,0.03,0.36,0.14,1,0.72,False,490.0,352.82,353.52,False,easy,hard,0.03,0.47,352.803537846,353.520419836,True,1.31774806976,0.0,4.0,79,0,True,0.0,0.0
ti01,a,1,63,hue,0,6,False,True,hue,hue,green,left,False,hard,easy,0.54,0.25,0.04,0.25,0.54,0.04,0,0.0,False,497.0,357.86,358.56,True,hard,easy,0.25,0.25,357.838311911,358.571861029,True,1.70143198967,1.0,9.0,102,0,True,0.69314718056,0.0
ti01,a,2,0,hue,1,3,True,True,hue,hue,green,left,False,hard,easy,0.54,0.25,0.04,0.25,0.54,0.04,1,0.72,False,0.0,0.02,0.72,True,hard,easy,0.25,0.25,0.00496292114258,0.71701002121,True,1.51772499084,1.0,9.0,91,0,True,0.0,0.0
ti01,a,2,1,hue,0,6,False,True,hue,hue,green,left,False,easy,hard,0.64,0.47,0.14,0.03,0.64,0.14,0,0.0,False,7.0,5.06,5.76,True,easy,hard,0.03,0.47,5.03478097916,5.76856088638,True,0.866850852966,1.0,9.0,52,0,True,0.69314718056,0.0
ti01,a,2,2,ori,0,4,True,True,ori,ori,red,left,True,hard,hard,0.46,0.47,0.04,0.03,0.47,0.03,0,0.0,False,13.0,9.38,10.08,False,hard,hard,0.04,0.46,9.36972284317,10.0865008831,True,1.35006594658,0.0,4.0,81,0,True,0.0,0.0
ti01,a,2,3,ori,1,5,False,True,ori,ori,red,right,False,easy,easy,0.36,0.75,0.14,0.25,0.75,0.25,1,0.72,False,19.0,13.7,14.4,True,easy,easy,0.14,0.36,13.687543869,14.4046390057,True,0.950122117996,1.0,9.0,57,0,True,0.69314718056,0.0
ti01,a,2,4,hue,0,6,True,True,hue,hue,green,right,True,easy,easy,0.64,0.75,0.14,0.25,0.64,0.14,2,1.44,False,26.0,18.74,19.44,True,easy,easy,0.25,0.75,18.7224559784,19.4393088818,True,1.13604593277,1.0,9.0,69,0,True,0.0,0.0
ti01,a,2,5,hue,1,3,False,True,hue,hue,red,left,True,hard,easy,0.46,0.25,0.04,0.25,0.46,0.04,4,2.88,False,34.0,24.5,25.2,False,hard,easy,0.25,0.25,24.4908640385,25.2075178623,False,1.2837100029,1.0,9.0,77,0,True,0.69314718056,0.0
ti01,a,2,6,hue,0,6,False,True,hue,hue,red,left,True,hard,easy,0.46,0.25,0.04,0.25,0.46,0.04,0,0.0,False,44.0,31.7,32.4,False,hard,easy,0.25,0.25,31.6763749123,32.4100840092,False,1.78497409821,1.0,9.0,108,0,True,1.09861228867,0.0
ti01,a,2,7,hue,0,6,False,False,hue,hue,red,right,False,hard,hard,0.46,0.53,0.04,0.03,0.46,0.04,1,0.72,False,50.0,36.02,36.72,False,hard,hard,0.03,0.53,35.9941999912,36.7278249264,True,0.966210126877,0.0,4.0,58,0,True,1.38629436112,0.69314718056
ti01,a,2,8,ori,0,4,True,True,ori,ori,red,left,True,easy,hard,0.36,0.47,0.14,0.03,0.47,0.03,7,5.04,False,57.0,41.06,41.76,False,hard,easy,0.14,0.36,41.0456228256,41.7627420425,True,1.95118999481,0.0,4.0,117,0,True,0.0,1.09861228867
ti01,a,2,9,hue,1,3,True,True,hue,hue,red,right,False,easy,hard,0.36,0.53,0.14,0.03,0.36,0.14,1,0.72,False,70.0,50.42,51.12,False,easy,hard,0.03,0.53,50.3987979889,51.1320588589,True,0.866510152817,0.0,4.0,52,0,True,0.0,0.0
ti01,a,2,10,ori,1,5,True,True,ori,ori,green,left,False,easy,easy,0.64,0.25,0.14,0.25,0.25,0.25,0,0.0,False,77.0,55.46,56.16,False,easy,easy,0.14,0.64,55.4501509666,56.1669869423,True,1.35132217407,0.0,4.0,81,0,True,0.0,0.0
ti01,a,2,11,hue,0,6,True,True,hue,hue,red,right,False,hard,easy,0.46,0.75,0.04,0.25,0.46,0.04,0,0.0,False,83.0,59.78,60.48,False,hard,easy,0.25,0.75,59.7680609226,60.485118866,False,1.9182009697,1.0,9.0,115,0,True,0.0,0.0
